,precision,recall,f1-score,support
bathtub,0.6976744186046512,0.6,0.6451612903225806,50.0
bed,0.8932038834951457,0.92,0.9064039408866995,100.0
chair,0.9306930693069307,0.94,0.9353233830845771,100.0
desk,0.4725274725274725,0.5,0.4858757062146893,86.0
dresser,0.6770833333333334,0.7558139534883721,0.7142857142857143,86.0
monitor,0.9787234042553191,0.92,0.9484536082474226,100.0
night_stand,0.7160493827160493,0.6744186046511628,0.6946107784431138,86.0
sofa,0.8165137614678899,0.89,0.8516746411483254,100.0
table,0.651685393258427,0.58,0.6137566137566137,100.0
toilet,0.9108910891089109,0.92,0.9154228855721394,100.0
accuracy,0.7852422907488987,0.7852422907488987,0.7852422907488987,0.7852422907488987
macro avg,0.7745045208074129,0.7700232558139535,0.7710968561961875,908.0
weighted avg,0.7857946665606877,0.7852422907488987,0.7844845604568826,908.0
